fiscal_year,entity,line_item,amount_usd,units,source_page,source_url
2009,FAF combined (FAF+FASB+GASB),total expenses,36937,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2009,FAF combined (FAF+FASB+GASB),total revenue,38494,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),34085,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),change in net assets,8896,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,142,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),contributions - GASB,1202,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4786,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,1719,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,70,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),investment income - short-term,32,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),net assets at end of year,68290,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13707,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),18493,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),total contributions,1344,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),total expenses,40892,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2010,FAF combined (FAF+FASB+GASB),total revenue,49136,USD thousands,41,https://storage.accountingfoundation.org/ar_faf_10_corrected.pdf
2011,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),29961,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),change in net assets,-303,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,90,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),contributions - GASB,1175,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4168,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,676,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,1,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),investment income - short-term,21,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),net assets at end of year,67987,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),net subscriptions and publications,14023,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),18191,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),total contributions,1265,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),total expenses,43964,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2011,FAF combined (FAF+FASB+GASB),total revenue,45249,USD thousands,31,https://storage.accountingfoundation.org/FAF_11AR_FINAL_150dpi.pdf
2012,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),29769,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),8451,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),change in net assets,7760,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,110,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4600,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,1537,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,103,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),investment income - short-term,26,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),net assets at end of year,75747,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13200,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),17800,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),total accounting support fees,38220,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),total expenses,45216,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2012,FAF combined (FAF+FASB+GASB),total revenue,51530,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),FASB Codification bound volumes,512,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),FASB license fees,12921,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),FASB other publications,77,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),FASB subscription plans revenue,2465,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),FASB subscriptions and publications (total),15975,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),GASB bound editions,267,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),GASB license fees,979,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),GASB subscription plans revenue,626,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2013,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),25527,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),7390,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),change in net assets,8060,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,110,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4433,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,425,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,-93,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),investment income - short-term,19,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),net assets at end of year,83807,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13453,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),other - class action settlement,2539,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),17886,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),total accounting support fees,32917,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),total expenses,46108,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2013,FAF combined (FAF+FASB+GASB),total revenue,46480,USD thousands,32,https://storage.accountingfoundation.org/FAF_13AR_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),FASB Codification bound volumes,363,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),FASB license fees,13289,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),FASB other publications,68,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),FASB subscription plans revenue,2295,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),FASB subscriptions and publications (total),16015,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),GASB bound editions,139,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),GASB final documents and other,23,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),GASB license fees,1079,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),GASB subscription plans revenue,548,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),GASB subscriptions and publications (total),1807,USD thousands,30,https://storage.accountingfoundation.org/FAF_AR14_FINAL_WEBSITE.pdf
2014,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),24034,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),6159,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),change in net assets,-9705,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,192,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4168,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,686,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,229,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),investment income - short-term,22,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),net assets at end of year,74102,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13654,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),17822,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),total accounting support fees,30193,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),total expenses,49316,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2014,FAF combined (FAF+FASB+GASB),total revenue,44039,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),FASB publications revenue (gross),15830,USD thousands,6,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2015,FAF combined (FAF+FASB+GASB),GASB publications revenue (gross),1665,USD thousands,6,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2015,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),23908,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),7357,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),change in net assets,-4735,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,240,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,4326,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,430,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),investment income - Supplemental Pension Plan,91,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),investment income - short-term,30,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),net assets at end of year,69367,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13169,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),17495,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),total accounting support fees,31265,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),total expenses,50514,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FAF combined (FAF+FASB+GASB),total revenue,44674,USD thousands,36,https://storage.accountingfoundation.org/FAF_AR15_Full(SP)_FINAL.pdf
2015,FASB (standalone entity),accounting support fees (FASB),23908,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2015,FASB (standalone entity),net assets at end of year,6148,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2015,FASB (standalone entity),total expenses,38525,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2015,FASB (standalone entity),total revenue,23908,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),FASB publications revenue (gross),15395,USD thousands,6,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),GASB publications revenue (gross),1684,USD thousands,6,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),24782,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),8310,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),change in net assets,-4859,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,195,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),direct costs of subscriptions and publications,3740,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,963,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),investment income - short-term,40,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),net assets at end of year,64508,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),net subscriptions and publications,13339,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),subscription and publication revenue (gross),17079,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),total accounting support fees,33092,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),total expenses,52569,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FAF combined (FAF+FASB+GASB),total revenue,46626,USD thousands,1,https://web.archive.org/web/20181230104713id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2016_audited_financials_final.pdf
2016,FASB (standalone entity),accounting support fees (FASB),24782,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2016,FASB (standalone entity),net assets at end of year,5682,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2016,FASB (standalone entity),total expenses,40476,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2016,FASB (standalone entity),total revenue,24782,USD thousands,1,https://web.archive.org/web/20181230114247id_/https://www.accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2016_Audited_financials_final.pdf
2017,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: hard copy and other (total),427,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: licensing (total),14745,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: online subscriptions (total),1843,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: print subscriptions (total),638,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),Note 2 disaggregation: total (total),17653,USD thousands,6,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),accounting support fees (FASB),27763,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),accounting support fees (GASB),8309,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),change in net assets,1369,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),contributions - FAF contributed services,204,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),investment income - Reserve Fund,835,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),investment income - short-term,78,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),net assets at end of year,65877,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),publishing revenue (total),17653,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),total accounting support fees,36072,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),total expenses,55511,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FAF combined (FAF+FASB+GASB),total revenue,53929,USD thousands,1,https://web.archive.org/web/20190430151427id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFAF_2018_Financials_Final.pdf
2017,FASB (standalone entity),accounting support fees (FASB),27763,USD thousands,1,https://web.archive.org/web/20190428185241id_/https://accountingfoundation.org/cs/BlobServer?...filename%3DFASB_2018_Financials_Final.pdf
